"Function","StatementID","Filename","Suspiciousness","Rank","StatementCount","CaseApplication"
"Ochiai","S14","edu.allegheny.listswap.CSVListIO.java","0.0","29","39","Listswap"
"Ochiai","S15","edu.allegheny.listswap.CSVListIO.java","0.0","30","39","Listswap"
"Ochiai","S16","edu.allegheny.listswap.CSVListIO.java","0.0","31","39","Listswap"
"Ochiai","S17","edu.allegheny.listswap.CSVListIO.java","0.0","32","39","Listswap"
"Ochiai","S19","edu.allegheny.listswap.CSVListIO.java","0.0","33","39","Listswap"
"Ochiai","S21","edu.allegheny.listswap.CSVListIO.java","0.0","34","39","Listswap"
"Ochiai","S22","edu.allegheny.listswap.CSVListIO.java","0.0","35","39","Listswap"
"Ochiai","S23","edu.allegheny.listswap.CSVListIO.java","0.0","36","39","Listswap"
"Ochiai","S24","edu.allegheny.listswap.CSVListIO.java","0.0","37","39","Listswap"
"Ochiai","S25","edu.allegheny.listswap.CSVListIO.java","0.0","38","39","Listswap"
"Ochiai","S26","edu.allegheny.listswap.CSVListIO.java","0.0","39","39","Listswap"
